scaled_features,Department_index,JobRole_index,Gender_index,OverTime_index,left_company
"[0.26190476190476186,0.3118483412322275,1.0,0.0,0.6666666666666666,0.07500000000000001]",1,0,0,0,0
"[0.16666666666666666,0.20479199578725646,0.6666666666666666,0.0,0.6666666666666666,0.1]",0,3,1,0,0
"[0.5714285714285714,0.08341232227488152,0.0,0.0,0.6666666666666666,0.225]",0,2,1,1,0
"[0.5238095238095237,0.9703528172722486,0.6666666666666666,0.0,0.6666666666666666,0.525]",0,7,0,0,0
"[0.7857142857142857,0.09025803054239073,1.0,0.0,0.3333333333333333,0.025]",0,1,0,0,0
"[0.30952380952380953,0.1300684570826751,0.3333333333333333,0.0,1.0,0.125]",0,2,0,0,1
"[0.3333333333333333,0.09399684044233808,0.3333333333333333,1.0,0.0,0.125]",0,2,0,0,0
"[0.47619047619047616,0.22327540810953134,1.0,0.0,0.6666666666666666,0.2]",1,0,0,0,0
"[0.3333333333333333,0.06145339652448657,0.0,0.0,0.6666666666666666,0.15000000000000002]",0,2,0,0,0
"[0.6666666666666666,0.8353343865192207,0.3333333333333333,0.0,0.3333333333333333,0.17500000000000002]",1,5,1,1,0
"[0.23809523809523808,0.13038441284886784,0.6666666666666666,0.0,0.0,0.0]",0,2,0,0,1
"[0.26190476190476186,0.29673512374934174,0.3333333333333333,0.0,0.6666666666666666,0.0]",1,0,0,0,0
"[0.30952380952380953,0.24081095313322803,1.0,1.0,0.6666666666666666,0.225]",0,4,0,0,0
"[0.16666666666666666,0.1575039494470774,0.0,0.0,0.6666666666666666,0.15000000000000002]",0,4,0,0,0
"[0.6428571428571428,0.657556608741443,1.0,0.0,0.6666666666666666,0.5]",0,4,0,1,0
"[0.42857142857142855,0.11590310689836757,1.0,0.0,0.6666666666666666,0.375]",0,2,0,0,0
"[0.8809523809523809,0.9497630331753555,0.0,0.0,0.6666666666666666,0.9]",0,5,0,1,0
"[0.6904761904761905,0.5708267509215377,0.3333333333333333,0.0,0.3333333333333333,0.25]",0,5,0,1,1
"[0.23809523809523808,0.05587151132174829,1.0,1.0,0.3333333333333333,0.125]",0,1,0,0,0
"[0.45238095238095233,0.2892575039494471,1.0,0.0,1.0,0.125]",1,0,0,0,0
"[0.07142857142857142,0.11695629278567668,0.6666666666666666,0.0,1.0,0.07500000000000001]",0,1,0,0,0
"[0.45238095238095233,0.6631911532385466,1.0,0.0,0.6666666666666666,0.125]",0,7,1,1,0
"[0.40476190476190477,0.5785676671932596,0.3333333333333333,0.0,0.3333333333333333,0.17500000000000002]",0,5,1,0,0
"[0.47619047619047616,0.2420221169036335,0.0,1.0,0.6666666666666666,0.2]",1,0,1,1,0
"[0.19047619047619047,0.28372827804107426,0.3333333333333333,1.0,0.0,0.15000000000000002]",0,3,1,0,0
"[0.7619047619047619,0.9549763033175356,0.3333333333333333,0.0,0.3333333333333333,0.25]",0,7,0,0,0
"[0.8333333333333333,0.872827804107425,0.6666666666666666,0.0,0.3333333333333333,0.125]",0,7,0,1,0
"[0.5714285714285714,0.20526592943654556,0.6666666666666666,1.0,0.6666666666666666,0.5]",1,0,0,0,0
"[0.26190476190476186,0.18667719852553977,1.0,0.0,0.3333333333333333,0.25]",1,0,0,0,0
"[0.8809523809523809,0.23201685097419697,1.0,0.0,0.6666666666666666,0.25]",0,2,0,1,0
"[0.19047619047619047,0.19652448657187996,0.0,0.0,0.6666666666666666,0.125]",0,4,0,1,0
"[0.45238095238095233,0.05824117956819379,1.0,0.0,0.6666666666666666,0.42500000000000004]",0,1,1,0,0
"[0.6190476190476191,0.11332280147446025,0.6666666666666666,1.0,0.0,0.025]",0,2,0,1,1
"[0.47619047619047616,0.24939441811479726,1.0,0.0,0.6666666666666666,0.05]",0,4,0,0,0
"[0.19047619047619047,0.07182727751448131,0.3333333333333333,0.0,0.6666666666666666,0.07500000000000001]",0,2,0,1,1
"[0.23809523809523808,0.12116903633491312,1.0,1.0,0.6666666666666666,0.125]",0,1,1,0,0
"[0.738095238095238,0.9297525013164823,0.0,0.0,0.6666666666666666,0.07500000000000001]",0,7,1,1,0
"[0.42857142857142855,0.18304370721432334,0.3333333333333333,0.0,0.6666666666666666,0.2]",0,1,0,0,0
"[0.30952380952380953,0.0937335439705108,0.3333333333333333,0.0,0.3333333333333333,0.05]",1,6,1,0,0
"[0.19047619047619047,0.2537651395471301,1.0,0.0,0.6666666666666666,0.2]",1,0,0,1,1
"[0.45238095238095233,0.0693522906793049,1.0,0.0,0.3333333333333333,0.1]",0,1,0,1,0
"[0.5714285714285714,0.6590837282780411,0.3333333333333333,0.0,1.0,0.5]",1,0,1,0,0
"[0.0,0.021642969984202214,0.6666666666666666,0.0,0.6666666666666666,0.0]",0,2,0,0,1
"[0.40476190476190477,0.36919431279620857,0.3333333333333333,0.0,0.3333333333333333,0.275]",1,0,0,0,0
"[0.42857142857142855,0.1410742496050553,1.0,0.0,0.6666666666666666,0.025]",0,2,0,0,0
"[0.7857142857142857,0.23554502369668248,0.3333333333333333,0.0,0.6666666666666666,0.1]",0,3,0,0,0
"[0.5476190476190476,0.7902053712480253,0.3333333333333333,0.0,0.6666666666666666,0.55]",1,5,0,0,0
"[0.0,0.010057925223802002,0.6666666666666666,0.0,0.6666666666666666,0.0]",1,6,1,0,0
"[0.23809523809523808,0.244971037388099,0.0,0.0,0.6666666666666666,0.2]",0,4,0,0,0
"[0.30952380952380953,0.31174302264349657,1.0,0.0,0.3333333333333333,0.2]",1,0,0,0,0
"[0.5,0.45308056872037916,1.0,0.0,0.3333333333333333,0.45]",0,4,0,0,0
"[0.42857142857142855,0.24565560821484994,0.3333333333333333,0.0,0.6666666666666666,0.225]",0,2,1,0,0
"[0.3333333333333333,0.23565034228541337,0.6666666666666666,0.0,0.3333333333333333,0.325]",1,0,0,0,0
"[0.47619047619047616,0.5819905213270142,0.3333333333333333,0.0,0.6666666666666666,0.25]",0,7,1,0,0
"[0.9523809523809523,0.24491837809373357,0.6666666666666666,0.0,0.6666666666666666,0.125]",0,4,0,1,0
"[0.30952380952380953,0.20073723012111638,1.0,0.0,0.6666666666666666,0.125]",0,1,0,1,0
"[0.30952380952380953,0.2844128488678252,0.0,0.0,0.6666666666666666,0.05]",2,8,0,0,0
"[0.6428571428571428,0.22122169562927857,0.0,0.0,0.6666666666666666,0.6000000000000001]",0,2,0,0,0
"[0.30952380952380953,0.08878357030015799,1.0,0.0,0.0,0.05]",0,1,0,1,0
"[0.3571428571428571,0.5723538704581359,0.3333333333333333,0.0,0.6666666666666666,0.25]",0,5,1,0,0
"[0.5,0.84565560821485,0.0,0.0,0.6666666666666666,0.525]",0,5,0,1,0
"[0.5952380952380952,0.07614533965244866,1.0,0.0,0.6666666666666666,0.2]",0,2,1,0,0
"[0.738095238095238,0.682201158504476,0.6666666666666666,0.0,0.6666666666666666,0.17500000000000002]",0,4,1,1,0
"[0.8095238095238095,0.20705634544497103,0.3333333333333333,0.0,0.3333333333333333,0.2]",0,1,0,0,1
"[0.21428571428571427,0.07735650342285413,0.3333333333333333,0.0,0.3333333333333333,0.1]",0,1,1,1,0
"[0.3333333333333333,0.22216956292785678,0.3333333333333333,0.0,0.6666666666666666,0.325]",1,0,1,1,0
"[0.21428571428571427,0.18267509215376515,0.6666666666666666,0.0,0.6666666666666666,0.125]",1,0,0,1,0
"[0.30952380952380953,0.3442864665613481,1.0,0.0,0.6666666666666666,0.17500000000000002]",1,0,0,0,0
"[0.3333333333333333,0.213059505002633,1.0,0.0,0.3333333333333333,0.17500000000000002]",0,1,1,0,0
"[0.23809523809523808,0.12927856766719326,1.0,0.0,0.3333333333333333,0.07500000000000001]",0,1,0,1,1
"[0.2857142857142857,0.25097419694576095,1.0,0.0,0.6666666666666666,0.25]",0,1,1,0,0
"[0.30952380952380953,0.417798841495524,0.6666666666666666,1.0,0.6666666666666666,0.25]",0,3,1,0,0
"[0.5,0.9617166929963139,1.0,0.0,0.6666666666666666,0.525]",0,5,0,0,0
"[0.5,0.22269615587151134,0.6666666666666666,0.0,0.3333333333333333,0.025]",1,0,1,1,1
"[0.3571428571428571,0.19341758820431806,1.0,0.0,0.3333333333333333,0.17500000000000002]",1,0,0,0,0
"[0.6904761904761905,0.9105318588730912,0.6666666666666666,0.0,0.6666666666666666,0.07500000000000001]",0,7,0,0,0
"[0.5952380952380952,0.22369668246445498,0.6666666666666666,0.0,1.0,0.225]",0,2,1,0,0
"[0.21428571428571427,0.2812006319115324,0.3333333333333333,0.0,0.6666666666666666,0.125]",1,0,0,1,0
"[0.8571428571428571,0.20326487625065826,0.6666666666666666,0.0,0.3333333333333333,0.1]",0,1,1,0,0
"[0.5952380952380952,0.4726698262243286,0.0,0.0,0.3333333333333333,0.025]",0,4,1,0,0
"[0.6428571428571428,0.1415481832543444,1.0,0.0,0.6666666666666666,0.25]",0,1,0,0,0
"[0.5238095238095237,0.3395471300684571,1.0,1.0,0.3333333333333333,0.1]",1,0,0,1,0
"[0.26190476190476186,0.05845181674565561,0.0,0.0,0.3333333333333333,0.17500000000000002]",0,2,0,1,1
"[0.26190476190476186,0.15660874144286469,1.0,0.0,0.6666666666666666,0.07500000000000001]",0,2,0,0,0
"[0.2857142857142857,0.2690363349131122,0.6666666666666666,0.0,0.6666666666666666,0.25]",1,0,1,0,0
"[0.21428571428571427,0.27409162717219593,0.3333333333333333,0.0,0.6666666666666666,0.2]",1,0,1,0,0
"[0.45238095238095233,0.28109531332280147,1.0,0.0,0.3333333333333333,0.15000000000000002]",0,3,0,0,0
"[0.47619047619047616,0.5529752501316483,1.0,0.0,0.6666666666666666,0.275]",0,7,0,1,0
"[0.30952380952380953,0.32301211163770405,1.0,0.0,0.3333333333333333,0.275]",0,3,1,1,0
"[0.26190476190476186,0.3822538177988415,0.3333333333333333,0.0,0.6666666666666666,0.17500000000000002]",1,0,1,1,0
"[0.40476190476190477,0.3731437598736177,0.3333333333333333,0.0,0.6666666666666666,0.4]",0,3,0,0,0
"[0.11904761904761904,0.09978936282253818,1.0,0.0,0.3333333333333333,0.1]",0,1,0,0,0
"[0.5476190476190476,0.264507635597683,0.3333333333333333,0.0,0.6666666666666666,0.125]",0,3,0,1,0
"[0.6904761904761905,0.10358083201685098,0.6666666666666666,0.0,0.6666666666666666,0.0]",1,6,0,0,0
"[0.5714285714285714,0.7889942074776198,1.0,0.0,0.6666666666666666,0.025]",0,7,1,0,0
"[0.26190476190476186,0.19167983149025805,0.6666666666666666,0.0,0.3333333333333333,0.1]",1,0,0,0,0
"[0.5714285714285714,0.08883622959452343,0.6666666666666666,0.0,0.6666666666666666,0.07500000000000001]",2,8,0,1,0
"[0.3333333333333333,0.07166929963138494,0.3333333333333333,0.0,0.6666666666666666,0.2]",0,2,1,0,0
"[0.7142857142857142,0.605318588730911,0.6666666666666666,1.0,0.0,0.0]",1,5,1,0,0
"[0.45238095238095233,0.26145339652448657,0.0,0.0,0.6666666666666666,0.17500000000000002]",0,1,0,1,0
"[0.2857142857142857,0.19626119010005266,0.6666666666666666,0.0,1.0,0.05]",1,0,1,1,0
"[0.19047619047619047,0.22575039494470775,0.6666666666666666,0.0,0.6666666666666666,0.2]",1,0,0,0,0
"[0.5714285714285714,0.3039494470774092,1.0,1.0,0.6666666666666666,0.025]",0,4,0,0,0
"[0.07142857142857142,0.06134807793575566,0.3333333333333333,0.0,0.6666666666666666,0.07500000000000001]",1,6,1,1,1
"[0.42857142857142855,0.29720905739863085,1.0,0.0,0.6666666666666666,0.025]",1,0,1,0,0
"[0.42857142857142855,0.4576092680358083,1.0,0.0,0.6666666666666666,0.325]",1,0,0,0,0
"[0.9285714285714285,0.30258030542390735,0.6666666666666666,0.0,0.6666666666666666,0.07500000000000001]",0,4,0,0,0
"[0.5238095238095237,0.06340179041600842,0.6666666666666666,0.0,0.6666666666666666,0.17500000000000002]",0,2,1,1,0
"[0.07142857142857142,0.08430753027909427,1.0,1.0,0.3333333333333333,0.07500000000000001]",1,6,0,0,0
"[0.3571428571428571,0.09699842022116904,0.6666666666666666,0.0,0.6666666666666666,0.025]",1,6,1,1,1
"[0.45238095238095233,0.1286466561348078,0.0,1.0,0.6666666666666666,0.125]",0,2,1,0,0
"[0.6666666666666666,0.22374934175882044,0.6666666666666666,0.0,1.0,0.025]",0,3,1,0,0
"[0.5476190476190476,0.43949447077409165,0.3333333333333333,0.0,0.6666666666666666,0.2]",1,0,0,0,1
"[0.7619047619047619,0.4995787256450764,1.0,0.0,0.6666666666666666,0.1]",0,4,0,0,0
"[0.5238095238095237,0.28283307003686153,0.6666666666666666,0.0,0.6666666666666666,0.15000000000000002]",1,0,0,1,1
"[0.30952380952380953,0.08678251711427067,0.3333333333333333,0.0,0.6666666666666666,0.05]",0,1,0,1,0
"[0.07142857142857142,0.08988941548183255,0.3333333333333333,0.0,0.6666666666666666,0.025]",1,6,1,0,1
"[0.26190476190476186,0.06276987888362297,1.0,0.0,0.6666666666666666,0.07500000000000001]",0,1,0,0,0
"[0.40476190476190477,0.2912585571353344,0.3333333333333333,0.0,0.6666666666666666,0.025]",0,4,0,0,0
"[0.21428571428571427,0.1478146392838336,0.3333333333333333,0.0,0.6666666666666666,0.125]",0,2,0,0,0
"[0.23809523809523808,0.22348604528699317,1.0,0.0,0.6666666666666666,0.17500000000000002]",1,0,0,0,0
"[0.738095238095238,0.524275934702475,0.6666666666666666,1.0,0.6666666666666666,0.125]",0,4,0,0,0
"[0.7857142857142857,0.20679304897314377,1.0,0.0,0.3333333333333333,0.17500000000000002]",1,0,1,0,0
"[0.42857142857142855,0.08077935755660874,0.6666666666666666,0.0,0.6666666666666666,0.05]",0,1,1,0,0
"[0.38095238095238093,0.2261716692996314,1.0,0.0,0.3333333333333333,0.125]",1,0,0,1,1
"[0.8809523809523809,0.8241179568193786,1.0,0.0,0.6666666666666666,0.125]",0,5,1,1,0
"[0.14285714285714285,0.17119536598209584,0.6666666666666666,0.0,1.0,0.125]",1,0,1,1,0
"[0.2857142857142857,0.07725118483412323,0.3333333333333333,0.0,0.6666666666666666,0.025]",1,6,0,0,0
"[0.19047619047619047,0.11021590310689837,0.0,1.0,0.6666666666666666,0.15000000000000002]",0,1,0,0,1
"[0.09523809523809523,0.06503422854133754,0.3333333333333333,0.0,0.6666666666666666,0.05]",0,1,1,0,0
"[0.42857142857142855,0.3468667719852554,0.6666666666666666,0.0,0.6666666666666666,0.25]",1,0,0,0,0
"[0.2857142857142857,0.06719325961032123,1.0,1.0,0.6666666666666666,0.025]",0,1,0,1,1
"[0.45238095238095233,0.1066350710900474,0.0,0.0,0.3333333333333333,0.45]",0,2,1,0,0
"[0.5238095238095237,0.2478146392838336,0.3333333333333333,0.0,0.6666666666666666,0.125]",1,0,1,0,0
"[0.5714285714285714,0.08251711427066878,0.0,0.0,0.6666666666666666,0.125]",0,2,1,0,0
"[0.45238095238095233,0.16787783043707216,0.3333333333333333,0.0,0.3333333333333333,0.025]",0,3,0,1,0
"[0.5952380952380952,0.7017904160084255,0.3333333333333333,0.0,0.6666666666666666,0.625]",0,7,0,0,0
"[0.5238095238095237,0.12843601895734597,0.6666666666666666,1.0,0.6666666666666666,0.025]",0,2,1,0,0
"[0.8571428571428571,0.9687730384412849,0.0,0.0,0.3333333333333333,0.1]",0,7,0,0,0
"[0.38095238095238093,0.29115323854660347,0.6666666666666666,0.0,0.6666666666666666,0.07500000000000001]",1,0,1,0,0
"[0.30952380952380953,0.1736176935229068,0.0,0.0,0.0,0.325]",0,3,1,0,0
"[0.5952380952380952,0.06577145866245393,1.0,1.0,0.6666666666666666,0.07500000000000001]",0,2,0,0,0
"[0.5952380952380952,0.18499210110584519,0.6666666666666666,0.0,0.6666666666666666,0.125]",0,4,1,1,0
"[0.16666666666666666,0.18314902580305426,1.0,0.0,0.6666666666666666,0.125]",1,0,1,1,0
"[0.45238095238095233,0.18114797261716695,0.6666666666666666,0.0,0.6666666666666666,0.325]",0,1,1,1,0
"[0.30952380952380953,0.0636650868878357,0.0,0.0,0.6666666666666666,0.1]",0,2,0,0,0
"[0.5,0.9577672459189047,0.6666666666666666,0.0,0.6666666666666666,0.525]",0,5,0,1,0
"[0.9047619047619047,0.6426013691416536,0.0,0.0,0.3333333333333333,0.17500000000000002]",1,0,1,0,0
"[0.2857142857142857,0.29320695102685623,0.6666666666666666,0.0,0.6666666666666666,0.125]",1,0,1,0,0
"[0.5476190476190476,0.388783570300158,0.0,0.0,0.6666666666666666,0.25]",1,0,0,0,0
"[0.23809523809523808,0.18688783570300158,0.0,0.0,0.6666666666666666,0.25]",0,2,0,0,0
"[0.16666666666666666,0.15913638757240653,0.0,0.0,0.6666666666666666,0.05]",0,2,0,0,1
"[0.8095238095238095,0.3665086887835703,0.6666666666666666,0.0,0.6666666666666666,0.125]",0,3,0,1,0
"[0.6428571428571428,0.0866245392311743,1.0,1.0,0.3333333333333333,0.05]",0,1,0,0,0
"[0.8095238095238095,0.8186413902053713,1.0,0.0,0.0,0.125]",0,5,1,0,0
"[0.5714285714285714,0.18678251711427069,0.6666666666666666,0.0,0.6666666666666666,0.125]",0,1,1,0,0
"[0.2857142857142857,0.26761453396524487,1.0,1.0,0.6666666666666666,0.125]",0,3,1,0,0
"[1.0,0.9771985255397578,0.0,0.0,0.0,0.7250000000000001]",0,5,1,0,0
"[0.6666666666666666,0.2001579778830964,0.6666666666666666,0.0,0.3333333333333333,0.25]",0,3,1,0,0
"[0.5714285714285714,0.18504476040021064,1.0,0.0,1.0,0.15000000000000002]",0,4,1,0,0
"[0.14285714285714285,0.11548183254344392,0.3333333333333333,0.0,0.6666666666666666,0.125]",1,6,1,1,1
"[0.38095238095238093,0.07066877303844128,0.6666666666666666,0.0,0.3333333333333333,0.05]",1,6,1,0,1
"[0.47619047619047616,0.036492890995260666,1.0,1.0,0.6666666666666666,0.025]",0,2,0,1,0
"[0.5238095238095237,0.8968931016324382,0.6666666666666666,0.0,0.6666666666666666,0.5]",1,5,1,0,0
"[0.19047619047619047,0.09884149552395999,1.0,1.0,0.0,0.07500000000000001]",0,1,1,0,0
"[0.2857142857142857,0.05729331226961559,1.0,0.0,0.0,0.125]",0,2,0,0,0
"[0.26190476190476186,0.5753554502369669,0.6666666666666666,0.0,0.6666666666666666,0.25]",0,7,0,0,0
"[0.26190476190476186,0.0809373354397051,0.3333333333333333,0.0,1.0,0.05]",0,1,1,0,1
"[0.023809523809523808,0.08188520273828331,1.0,0.0,1.0,0.025]",2,8,0,0,1
"[0.2857142857142857,0.3898367561874671,0.0,0.0,0.6666666666666666,0.225]",1,0,1,0,0
"[0.9285714285714285,0.6903106898367563,1.0,0.0,0.3333333333333333,0.025]",1,5,0,0,0
"[0.7619047619047619,0.8444971037388099,0.6666666666666666,0.0,0.6666666666666666,0.675]",0,5,0,0,0
"[0.2857142857142857,0.08188520273828331,1.0,0.0,0.3333333333333333,0.275]",0,2,1,0,0
"[1.0,0.4874670879410216,0.0,0.0,1.0,0.45]",1,0,1,0,0
"[0.6904761904761905,0.21384939441811482,1.0,0.0,0.6666666666666666,0.125]",0,3,1,0,0
"[0.6666666666666666,0.8874144286466562,0.6666666666666666,0.0,0.0,0.07500000000000001]",0,7,0,0,0
"[0.40476190476190477,0.16961558715113217,0.6666666666666666,0.0,0.6666666666666666,0.125]",0,2,0,0,0
"[0.8571428571428571,0.1459189046866772,0.6666666666666666,0.0,0.6666666666666666,0.025]",0,2,1,0,0
"[0.38095238095238093,0.09262769878883623,0.6666666666666666,0.0,0.6666666666666666,0.17500000000000002]",0,1,0,0,0
"[0.6666666666666666,0.42453923117430226,1.0,0.0,0.6666666666666666,0.07500000000000001]",1,0,1,1,0
"[0.30952380952380953,0.5075829383886256,0.3333333333333333,1.0,1.0,0.325]",0,3,0,0,0
"[0.3571428571428571,0.6635597682991048,0.6666666666666666,0.0,1.0,0.17500000000000002]",0,5,0,1,1
"[0.3571428571428571,0.12632964718272777,1.0,0.0,0.6666666666666666,0.1]",0,2,0,0,1
"[0.2857142857142857,0.10394944707740916,0.3333333333333333,0.0,0.6666666666666666,0.07500000000000001]",1,6,0,0,0
"[0.40476190476190477,0.3487625065824118,0.6666666666666666,0.0,0.6666666666666666,0.2]",0,4,0,1,0
"[0.30952380952380953,0.4641916798314903,0.6666666666666666,0.0,0.6666666666666666,0.025]",0,4,0,0,1
"[0.38095238095238093,0.4708267509215377,0.0,0.0,0.6666666666666666,0.07500000000000001]",2,8,1,1,1
"[0.5714285714285714,0.05708267509215377,0.6666666666666666,0.0,0.6666666666666666,0.05]",0,2,0,0,0
"[0.42857142857142855,0.47240652975250136,1.0,0.0,0.3333333333333333,0.25]",1,0,0,0,0
"[0.09523809523809523,0.15192206424433913,0.6666666666666666,0.0,0.6666666666666666,0.05]",0,2,0,0,1
"[0.7142857142857142,0.16018957345971566,1.0,0.0,0.6666666666666666,0.225]",1,0,1,0,0
"[0.8809523809523809,0.8333859926276989,0.3333333333333333,1.0,0.6666666666666666,0.25]",1,5,1,0,0
"[0.5476190476190476,0.2749341758820432,1.0,0.0,0.6666666666666666,0.35000000000000003]",1,0,0,0,0
"[0.40476190476190477,0.19526066350710902,0.6666666666666666,0.0,0.6666666666666666,0.275]",1,0,0,0,0
"[0.5238095238095237,0.64391785150079,0.6666666666666666,0.0,0.6666666666666666,0.5]",0,3,1,0,0
"[0.5,0.1446024223275408,0.6666666666666666,0.0,0.6666666666666666,0.2]",0,2,1,0,0
"[0.30952380952380953,0.29347024749868356,1.0,0.0,1.0,0.15000000000000002]",1,0,0,1,0
"[0.5714285714285714,0.3368615060558189,0.0,1.0,0.3333333333333333,0.25]",0,3,0,1,0
"[0.6428571428571428,0.1998946814112691,0.3333333333333333,0.0,1.0,0.2]",1,0,0,0,0
"[0.19047619047619047,0.09120589784096894,0.6666666666666666,0.0,0.3333333333333333,0.17500000000000002]",2,8,1,1,1
"[0.26190476190476186,0.17130068457082676,1.0,0.0,1.0,0.07500000000000001]",0,3,0,0,0
"[0.3571428571428571,0.7991047919957873,0.6666666666666666,0.0,0.6666666666666666,0.15000000000000002]",0,7,1,0,0
"[0.30952380952380953,0.5554502369668247,1.0,1.0,0.3333333333333333,0.125]",1,5,0,0,0
"[0.0,0.045760926803580834,0.3333333333333333,0.0,0.6666666666666666,0.0]",1,6,0,1,1
"[0.5238095238095237,0.522538177988415,0.0,0.0,0.6666666666666666,0.025]",1,0,0,0,0
"[0.5476190476190476,0.30552922590837284,0.6666666666666666,0.0,0.6666666666666666,0.2]",0,4,1,1,0
"[0.19047619047619047,0.1736176935229068,0.6666666666666666,0.0,0.6666666666666666,0.0]",1,0,0,0,0
"[0.40476190476190477,0.2027382833070037,0.6666666666666666,0.0,0.6666666666666666,0.125]",1,0,1,0,0
"[0.38095238095238093,0.22790942601369144,1.0,0.0,0.6666666666666666,0.25]",1,0,0,0,0
"[0.19047619047619047,0.07008952080042127,1.0,0.0,0.0,0.025]",0,2,0,1,1
"[0.45238095238095233,0.3413375460768826,1.0,0.0,1.0,0.15000000000000002]",0,3,1,0,0
"[0.6666666666666666,0.5012111637704055,0.6666666666666666,0.0,0.3333333333333333,0.05]",0,4,1,0,0
"[0.5476190476190476,0.8207477619799896,0.0,0.0,0.6666666666666666,0.45]",1,5,1,0,0
"[0.45238095238095233,0.4120589784096893,0.3333333333333333,0.0,0.6666666666666666,0.225]",1,0,0,0,0
"[0.8095238095238095,0.24054765666140074,0.0,0.0,0.6666666666666666,0.25]",0,1,0,1,0
"[0.3333333333333333,0.19473407056345446,0.6666666666666666,0.0,0.6666666666666666,0.1]",1,0,0,0,1
"[0.14285714285714285,0.07324907846234861,1.0,0.0,0.6666666666666666,0.05]",1,6,0,0,0
"[0.47619047619047616,0.4641916798314903,0.6666666666666666,0.0,0.6666666666666666,0.025]",0,4,1,0,0
"[0.45238095238095233,0.28636124275934705,0.3333333333333333,0.0,0.3333333333333333,0.15000000000000002]",0,3,1,0,0
"[0.738095238095238,0.9738283307003687,0.6666666666666666,0.0,0.6666666666666666,0.775]",0,7,0,1,0
"[0.14285714285714285,0.09036334913112165,1.0,0.0,0.6666666666666666,0.15000000000000002]",0,1,0,1,0
"[0.19047619047619047,0.27714586624539234,0.3333333333333333,1.0,1.0,0.125]",1,0,0,0,0
"[0.14285714285714285,0.058873091100579256,0.3333333333333333,1.0,0.6666666666666666,0.025]",0,2,0,0,0
"[0.7619047619047619,0.9052659294365456,0.3333333333333333,0.0,0.6666666666666666,0.8]",2,5,0,0,0
"[0.16666666666666666,0.057240652975250134,0.6666666666666666,0.0,0.6666666666666666,0.17500000000000002]",1,6,0,0,0
"[0.14285714285714285,0.09884149552395999,0.6666666666666666,0.0,0.6666666666666666,0.15000000000000002]",0,2,1,1,1
"[0.2857142857142857,0.05392311743022644,0.0,0.0,1.0,0.025]",1,6,0,0,1
"[0.38095238095238093,0.13759873617693524,1.0,0.0,0.6666666666666666,0.15000000000000002]",0,1,0,1,0
"[0.30952380952380953,0.16977356503422855,0.0,0.0,0.0,0.07500000000000001]",1,0,0,0,1
"[0.40476190476190477,0.1407056345444971,1.0,0.0,0.6666666666666666,0.07500000000000001]",0,2,0,0,0
"[0.30952380952380953,0.23438651922064246,1.0,1.0,1.0,0.17500000000000002]",1,0,0,0,0
"[0.21428571428571427,0.06203264876250659,0.6666666666666666,0.0,0.3333333333333333,0.125]",0,1,1,0,0
"[0.45238095238095233,0.45250131648235914,0.6666666666666666,0.0,0.3333333333333333,0.07500000000000001]",1,0,0,1,0
"[0.047619047619047616,0.09620853080568721,0.3333333333333333,0.0,1.0,0.025]",0,1,1,0,0
"[0.5714285714285714,0.16219062664560296,1.0,0.0,0.6666666666666666,0.25]",0,4,1,0,0
"[0.5952380952380952,0.8224328593996841,1.0,0.0,0.3333333333333333,0.025]",0,7,0,1,0
"[0.47619047619047616,0.08478146392838336,0.0,0.0,0.3333333333333333,0.0]",0,1,1,0,0
"[0.5952380952380952,0.2459189046866772,0.6666666666666666,0.0,0.6666666666666666,0.2]",0,2,0,1,0
"[0.7142857142857142,0.7579252238020011,0.0,0.0,0.0,0.07500000000000001]",0,5,1,0,0
"[0.6190476190476191,0.2620326487625066,0.6666666666666666,0.0,1.0,0.05]",2,8,1,0,0
"[0.38095238095238093,0.08267509215376515,0.6666666666666666,0.0,0.6666666666666666,0.2]",1,6,1,1,0
"[0.21428571428571427,0.10700368615060558,0.0,0.0,0.6666666666666666,0.1]",1,6,0,0,1
"[0.07142857142857142,0.12838335966298053,0.6666666666666666,0.0,0.6666666666666666,0.07500000000000001]",1,6,0,0,0
"[0.6190476190476191,0.9744075829383887,1.0,0.0,1.0,0.05]",0,5,0,1,0
"[0.09523809523809523,0.09289099526066351,0.6666666666666666,1.0,0.6666666666666666,0.05]",0,1,0,0,0
"[0.3571428571428571,0.3209583991574513,0.6666666666666666,0.0,0.6666666666666666,0.125]",1,0,0,0,0
"[0.3333333333333333,0.2797788309636651,1.0,0.0,0.3333333333333333,0.15000000000000002]",0,1,1,1,0
"[0.2857142857142857,0.056556082148499214,0.6666666666666666,1.0,0.6666666666666666,0.025]",0,1,1,0,0
"[0.8333333333333333,0.388204318062138,0.0,1.0,1.0,0.35000000000000003]",1,0,1,0,0
"[0.38095238095238093,0.08857293312269617,1.0,0.0,0.3333333333333333,0.25]",0,1,0,0,0
"[0.6428571428571428,0.1725645076355977,0.0,0.0,0.6666666666666666,0.025]",1,0,1,0,1
"[0.19047619047619047,0.08688783570300158,1.0,0.0,0.6666666666666666,0.07500000000000001]",0,2,1,1,0
"[0.45238095238095233,0.4436545550289626,0.6666666666666666,0.0,0.6666666666666666,0.25]",0,3,0,0,0
"[0.26190476190476186,0.23970510795155345,0.6666666666666666,0.0,0.3333333333333333,0.15000000000000002]",1,0,1,0,0
